Position,Name,Artist,Album,Genre,Time,Plays
47,Confetti (feat. Saweetie),Little Mix,Confetti (feat. Saweetie) - Single,Pop,0:03:05,169
48,I Think He Knows,Taylor Swift,Lover,Pop,0:02:53,108
49,in my head,Ariana Grande,"thank u, next",Pop,0:03:42,100
50,Everytime,Britney Spears,In the Zone,Pop,0:03:50,118
51,"Sweeter Than Fiction (From ""One Chance"")",Taylor Swift,"Sweeter Than Fiction (From ""One Chance"") - Single",Country,0:03:54,96
52,Don't Keep Me Waiting,Britney Spears,Femme Fatale (Deluxe Version),Pop,0:03:21,101
53,I Know the End,Phoebe Bridgers,Punisher,Alternative,0:05:44,52
54,my tears ricochet,Taylor Swift,folklore,Alternative,0:04:15,78
55,Good Time,Owl City & Carly Rae Jepsen,The Midsummer Station,Pop,0:03:25,27
56,Rain On Me,Lady Gaga & Ariana Grande,Chromatica,Pop,0:03:02,97
57,Going Home,The Aces,Under My Influence,Alternative,0:03:55,42
58,Doin' Time,Lana Del Rey,Norman F*****g Rockwell!,Pop,0:03:22,81
59,Gone,Charli XCX & Christine and the Queens,Charli,Pop,0:04:06,89
60,"thank u, next",Ariana Grande,"thank u, next",Pop,0:03:27,88
61,brutal,Olivia Rodrigo,SOUR,Pop,0:02:23,82
62,mirrorball,Taylor Swift,folklore,Alternative,0:03:28,80
63,coney island (feat. The National),Taylor Swift,evermore,Alternative,0:04:35,59
64,Safe & Sound (feat. The Civil Wars),Taylor Swift,The Hunger Games (Songs from District 12 and Beyond),Soundtrack,0:04:00,42
65,Criminal,Britney Spears,Femme Fatale (Deluxe Version),Pop,0:03:45,95
66,Happier Than Ever,Billie Eilish,Happier Than Ever,Alternative,0:04:58,63
67,Piece of Me,Britney Spears,Blackout,Pop,0:03:32,96
68,Nobody,Mitski,Be the Cowboy,Indie Rock,0:03:13,102
69,Shadow,Britney Spears,In the Zone,Pop,0:03:44,96
70,Hustler,Josef Salvat,Night Swim (Deluxe),Pop,0:03:54,26
71,Break the Ice,Britney Spears,Blackout,Pop,0:03:16,182
72,Zillionaire,The Aces,Under My Influence,Adult Alternative,0:03:13,
73,thế giới không anh,Phùng Khánh Linh,yesteryear,Pop,0:04:19,19
74,long story short,Taylor Swift,evermore,Alternative,0:03:35,56
75,7 rings,Ariana Grande,"thank u, next",Pop,0:02:58,60
76,White Mustang,Lana Del Rey,Lust for Life,Alternative,0:02:44,141
77,The Blackest Day,Lana Del Rey,Honeymoon,Alternative,0:06:05,87
78,In My Feelings,Lana Del Rey,Lust for Life,Alternative,0:03:58,107
79,Breathe On Me,Britney Spears,In the Zone,Pop,0:03:43,137
80,High Horse,Kacey Musgraves,Golden Hour,Country,0:03:33,93
81,WAP (feat. Megan Thee Stallion),Cardi B,WAP (feat. Megan Thee Stallion) - Single,Hip-Hop/Rap,0:03:07,87
82,Never Get to Hold You (Bonus Track),Carly Rae Jepsen,Emotion (Deluxe Expanded Edition),Pop,0:04:13,49
83,Everything Has Changed (feat. Ed Sheeran),Taylor Swift,Red (Deluxe Edition),Country,0:04:03,57
84,the last great american dynasty,Taylor Swift,folklore,Alternative,0:03:50,34
85,Daydream,The Aces,Under My Influence,Alternative,0:02:30,32
86,False God,Taylor Swift,Lover,Pop,0:03:20,93
87,Chinese Satellite,Phoebe Bridgers,Punisher,Alternative,0:03:37,56
88,pov,Ariana Grande,Positions,Pop,0:03:21,43
89,Backseat (feat. Carly Rae Jepsen),Charli XCX,Pop 2,Pop,0:03:58,57
90,Cool for the Summer,Demi Lovato,Confident,Pop,0:03:34,50
91,closure,Taylor Swift,evermore,Alternative,0:03:00,39
92,Busy Boy,Chloe x Halle,Ungodly Hour,R&B/Soul,0:03:09,33
93,Mariners Apartment Complex,Lana Del Rey,Norman F*****g Rockwell!,Alternative,0:04:07,87
94,Venice Bitch,Lana Del Rey,Norman F*****g Rockwell!,Alternative,0:09:37,107
95,my hair,Ariana Grande,Positions,Pop,0:02:38,62
96,Run Away with Me,Carly Rae Jepsen,E•MO•TION  (Deluxe),Pop,0:04:11,68
97,Pretty When You Cry,Lana Del Rey,Ultraviolence (Deluxe),Alternative,0:03:54,122
98,test drive,Ariana Grande,Positions,Pop,0:02:02,57
99,Lonely Weekend,Kacey Musgraves,Golden Hour,Country,0:03:46,83
100,Hurricane,Halsey,Room 93 - EP,Alternative,0:03:43,19
