Position,Name,Artist,Album,Genre,Time,Plays
44,Tulsa Jesus Freak,Lana Del Rey,Chemtrails Over the Country Club,Alternative,0:03:35,85
45,Hold It Against Me,Britney Spears,Femme Fatale (Deluxe Version),Pop,0:03:49,131
46,34+35,Ariana Grande,Positions,Pop,0:02:53,85
47,Happier Than Ever,Billie Eilish,Happier Than Ever,Alternative,0:04:58,78
48,Don't Keep Me Waiting,Britney Spears,Femme Fatale (Deluxe Version),Pop,0:03:21,110
49,I Know the End,Phoebe Bridgers,Punisher,Alternative,0:05:44,65
50,Run Away with Me,Carly Rae Jepsen,E•MO•TION  (Deluxe),Pop,0:04:11,
51,Your Type,Carly Rae Jepsen,E•MO•TION  (Deluxe),Pop,0:03:19,
52,Not All Who Wander Are Lost,Lana Del Rey,Chemtrails Over the Country Club,Alternative,0:04:07,53
53,Honeymoon,Lana Del Rey,Honeymoon,Alternative,0:05:50,59
54,Cherry Blossom,Lana Del Rey,Blue Banisters,Alternative,0:03:17,84
55,Now or Never,Halsey,hopeless fountain kingdom (Deluxe),Alternative,0:03:34,77
56,"thank u, next",Ariana Grande,"thank u, next",Pop,0:03:27,102
57,gold rush,Taylor Swift,evermore,Alternative,0:03:05,
58,cowboy like me,Taylor Swift,evermore,Alternative,0:04:35,
59,brutal,Olivia Rodrigo,SOUR,Pop,0:02:23,94
60,Motion Sickness,Phoebe Bridgers,Stranger in the Alps,Alternative,0:03:49,177
61,White Mustang,Lana Del Rey,Lust for Life,Alternative,0:02:44,153
62,Zillionaire,The Aces,Under My Influence,Alternative,0:03:13,29
63,Daydream,The Aces,Under My Influence,Alternative,0:02:30,45
64,Nobody,Mitski,Be the Cowboy,Indie Rock,0:03:13,115
65,my hair,Ariana Grande,Positions,Pop,0:02:38,78
66,Rain On Me,Lady Gaga & Ariana Grande,Chromatica,Pop,0:03:02,105
67,IN A DREAM,Troye Sivan,In A Dream - EP,Pop,0:03:49,142
68,I Think He Knows,Taylor Swift,Lover,Pop,0:02:53,117
69,tolerate it,Taylor Swift,evermore,Alternative,0:04:05,
70,1121,Halsey,"If I Can’t Have Love, I Want Power",Alternative,0:02:42,117
71,Backseat (feat. Carly Rae Jepsen),Charli XCX,Pop 2,Pop,0:03:58,70
72,WAP (feat. Megan Thee Stallion),Cardi B,WAP (feat. Megan Thee Stallion) - Single,Hip-Hop/Rap,0:03:07,113
73,In My Feelings,Lana Del Rey,Lust for Life,Alternative,0:03:58,118
74,Wild at Heart,Lana Del Rey,Chemtrails Over the Country Club,Alternative,0:04:06,58
75,Cruel Summer,Taylor Swift,Lover,Pop,0:02:58,161
76,Shadow,Britney Spears,In the Zone,Pop,0:03:44,103
77,good 4 u,Olivia Rodrigo,SOUR,Pop,0:02:58,134
78,Breaking Up Slowly (feat. Nikki Lane),Lana Del Rey,Chemtrails Over the Country Club,Alternative,0:02:57,57
79,august,Taylor Swift,folklore,Alternative,0:04:21,
80,Gone,Charli XCX & Christine and the Queens,Charli,Pop,0:04:06,95
81,Dealer,Lana Del Rey,Blue Banisters,Alternative,0:04:34,63
82,champagne problems,Taylor Swift,evermore,Alternative,0:04:04,
83,7 rings,Ariana Grande,"thank u, next",Pop,0:02:58,82
84,Everytime,Britney Spears,In the Zone,Pop,0:03:50,126
85,Hurricane,Halsey,Room 93 - EP,Alternative,0:03:43,28
86,Piece of Me,Britney Spears,Blackout,Pop,0:03:32,106
87,Dance Till We Die,Lana Del Rey,Chemtrails Over the Country Club,Alternative,0:04:03,56
88,Toxic,Britney Spears,In the Zone,Pop,0:03:18,212
89,"Sweeter Than Fiction (From ""One Chance"")",Taylor Swift,"Sweeter Than Fiction (From ""One Chance"") - Single",Country,0:03:54,101
90,test drive,Ariana Grande,Positions,Pop,0:02:02,68
91,Bad at Love,Halsey,hopeless fountain kingdom (Deluxe),Alternative,0:03:01,110
92,Selfish,Britney Spears,Femme Fatale (Deluxe Version),Pop,0:03:43,124
93,Cool for the Summer,Demi Lovato,Confident,Pop,0:03:34,59
94,Criminal,Britney Spears,Femme Fatale (Deluxe Version),Pop,0:03:45,103
95,Venice Bitch,Lana Del Rey,Norman F*****g Rockwell!,Alternative,0:09:37,123
96,happiness,Taylor Swift,evermore,Alternative,0:05:15,
97,seven,Taylor Swift,folklore,Alternative,0:03:28,
98,this is me trying,Taylor Swift,folklore,Alternative,0:03:15,
99,the 1,Taylor Swift,folklore,Alternative,0:03:30,
100,Pretty When You Cry,Lana Del Rey,Ultraviolence (Deluxe),Alternative,0:03:54,130
